Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.2,0.000109219,0.0,172.89,0.0025015,0.0,10.428,-0.000109222,5.02134e-05,0.00246002,0.00045252,8.0,2005.0
0.0,0.2,0.000109219,0.0,168.582,0.00235106,0.0,11.106,-0.000109222,6.00854e-05,0.00230719,0.000452759,8.0,2005.0
0.0,0.2,0.000109219,0.0,159.522,0.00226809,0.0,11.514,-0.000109222,5.78279e-05,0.00222231,0.00045252,8.0,2005.0
9.0,0.2,0.000102468,0.0,151.242,0.00230147,0.0,11.34,-8.98321e-05,4.9297e-05,0.00225641,0.00045252,8.0,2005.0
9.0,0.2,9.66121e-05,0.0,149.454,0.00240041,0.0,10.866,-8.32085e-05,4.90958e-05,0.0023575,0.00045252,8.0,2005.0
9.0,0.2,9.41237e-05,0.0,150.084,0.00243928,0.0,10.692,-8.15843e-05,4.69426e-05,0.00239684,0.000452282,8.0,2005.0
18.0,0.2,9.44776e-05,0.0,150.726,0.00250937,0.0,10.386,-8.24151e-05,4.61976e-05,0.00246812,0.000452282,8.0,2005.0
18.0,0.2,8.81632e-05,0.0,147.702,0.00260164,0.0,10.02,-7.45212e-05,4.71065e-05,0.00256206,0.000452282,8.0,2005.0
18.0,0.2,8.32458e-05,0.0,146.664,0.00263764,0.0,9.882,-6.95516e-05,4.57431e-05,0.0025983,0.000452282,8.0,2005.0
27.0,0.2,8.15731e-05,0.0,144.264,0.00269605,0.0,9.66,-6.62175e-05,4.76392e-05,0.00265791,0.000452282,8.0,2005.0
27.0,0.2,7.45286e-05,0.0,140.58,0.00277139,0.0,9.402,-5.75746e-05,4.73263e-05,0.0027342,0.000452282,8.0,2005.0
27.0,0.2,6.91828e-05,0.0,139.8,0.00280096,0.0,9.294,-5.28472e-05,4.46516e-05,0.002764,0.00045252,8.0,2005.0
36.0,0.2,6.83819e-05,0.0,139.074,0.00284411,0.0,9.15,-5.167e-05,4.47931e-05,0.00280787,0.000452282,8.0,2005.0
36.0,0.2,6.01786e-05,0.0,131.586,0.00289847,0.0,8.982,-3.99502e-05,4.50092e-05,0.00286295,0.000452282,8.0,2005.0
36.0,0.2,5.65948e-05,0.0,124.878,0.00291969,0.0,8.916,-3.23656e-05,4.64285e-05,0.0028844,0.00045252,8.0,2005.0
45.0,0.2,5.40207e-05,0.0,121.95,0.00294448,0.0,8.838,-2.8588e-05,4.58362e-05,0.00290944,0.000452282,8.0,2005.0
45.0,0.2,4.97254e-05,0.0,111.81,0.00297286,0.0,8.754,-1.84813e-05,4.61678e-05,0.00293829,0.00045252,8.0,2005.0
45.0,0.2,4.7032e-05,0.0,106.626,0.00298359,0.0,8.724,-1.34595e-05,4.50651e-05,0.00294925,0.00045252,8.0,2005.0
54.0,0.2,4.67079e-05,0.0,101.82,0.00298883,0.0,8.712,-9.57033e-06,4.57207e-05,0.00295426,0.000452282,8.0,2005.0
54.0,0.2,4.47782e-05,0.0,90.006,0.00299098,0.0,8.7,-7.45064e-09,4.47782e-05,0.00295664,0.00045252,8.0,2005.0
54.0,0.2,4.62087e-05,0.0,83.49599999999998,0.00299145,0.0,8.7,5.23406e-06,4.59144e-05,0.00295712,0.000452282,8.0,2005.0
63.0,0.2,4.59852e-05,0.0,81.096,0.00297691,0.0,8.748,7.11906e-06,4.54339e-05,0.0029421,0.00045252,8.0,2005.0
63.0,0.2,4.70581e-05,0.0,72.138,0.00295188,0.0,8.82,1.44318e-05,4.47931e-05,0.00291683,0.000452759,8.0,2005.0
63.0,0.2,4.65217e-05,0.0,66.246,0.0029421,0.0,8.85,1.87383e-05,4.2584e-05,0.00290729,0.000452759,8.0,2005.0
72.0,0.2,4.70246e-05,0.0,66.648,0.00290777,0.0,8.964,1.86377e-05,4.31689e-05,0.00287224,0.000452759,8.0,2005.0
72.0,0.2,5.18265e-05,0.0,63.132,0.00285651,0.0,9.12,2.3421e-05,4.62348e-05,0.00282027,0.000452759,8.0,2005.0
72.0,0.2,5.17594e-05,0.0,60.636,0.00283648,0.0,9.186,2.53768e-05,4.51098e-05,0.00280024,0.000452759,8.0,2005.0
